date,ticker,close
2025-01-01,SPY,99.8000
2025-01-01,TLT,89.8000
2025-01-01,HYG,79.8000
2025-01-01,LQD,84.8000
2025-01-01,VIX,19.8000
2025-01-02,SPY,100.0500
2025-01-02,TLT,89.8500
2025-01-02,HYG,79.9800
2025-01-02,LQD,84.9400
2025-01-02,VIX,19.9200
2025-01-03,SPY,100.3000
2025-01-03,TLT,89.9000
2025-01-03,HYG,80.1600
2025-01-03,LQD,85.0800
2025-01-03,VIX,20.0400
2025-01-04,SPY,100.5500
2025-01-04,TLT,89.9500
2025-01-04,HYG,80.3400
2025-01-04,LQD,85.2200
2025-01-04,VIX,20.1600
2025-01-05,SPY,100.8000
2025-01-05,TLT,90.0000
2025-01-05,HYG,80.5200
2025-01-05,LQD,85.3600
2025-01-05,VIX,20.2800
2025-01-06,SPY,100.5500
2025-01-06,TLT,89.5500
2025-01-06,HYG,80.2000
2025-01-06,LQD,85.0000
2025-01-06,VIX,19.9000
2025-01-07,SPY,100.8000
2025-01-07,TLT,89.6000
2025-01-07,HYG,80.3800
2025-01-07,LQD,85.1400
2025-01-07,VIX,20.0200
2025-01-08,SPY,101.0500
2025-01-08,TLT,89.6500
2025-01-08,HYG,80.5600
2025-01-08,LQD,85.2800
2025-01-08,VIX,20.1400
2025-01-09,SPY,101.3000
2025-01-09,TLT,89.7000
2025-01-09,HYG,80.7400
2025-01-09,LQD,85.4200
2025-01-09,VIX,20.2600
2025-01-10,SPY,101.5500
2025-01-10,TLT,89.7500
2025-01-10,HYG,80.9200
2025-01-10,LQD,85.5600
2025-01-10,VIX,20.3800
2025-01-11,SPY,101.3000
2025-01-11,TLT,89.3000
2025-01-11,HYG,80.6000
2025-01-11,LQD,85.2000
2025-01-11,VIX,20.0000
2025-01-12,SPY,101.5500
2025-01-12,TLT,89.3500
2025-01-12,HYG,80.7800
2025-01-12,LQD,85.3400
2025-01-12,VIX,20.1200
2025-01-13,SPY,101.8000
2025-01-13,TLT,89.4000
2025-01-13,HYG,80.9600
2025-01-13,LQD,85.4800
2025-01-13,VIX,20.2400
2025-01-14,SPY,102.0500
2025-01-14,TLT,89.4500
2025-01-14,HYG,81.1400
2025-01-14,LQD,85.6200
2025-01-14,VIX,20.3600
2025-01-15,SPY,102.3000
2025-01-15,TLT,89.5000
2025-01-15,HYG,81.3200
2025-01-15,LQD,85.7600
2025-01-15,VIX,20.4800
2025-01-16,SPY,102.0500
2025-01-16,TLT,89.0500
2025-01-16,HYG,81.0000
2025-01-16,LQD,85.4000
2025-01-16,VIX,20.1000
2025-01-17,SPY,102.3000
2025-01-17,TLT,89.1000
2025-01-17,HYG,81.1800
2025-01-17,LQD,85.5400
2025-01-17,VIX,20.2200
2025-01-18,SPY,102.5500
2025-01-18,TLT,89.1500
2025-01-18,HYG,81.3600
2025-01-18,LQD,85.6800
2025-01-18,VIX,20.3400
2025-01-19,SPY,102.8000
2025-01-19,TLT,89.2000
2025-01-19,HYG,81.5400
2025-01-19,LQD,85.8200
2025-01-19,VIX,20.4600
2025-01-20,SPY,103.0500
2025-01-20,TLT,89.2500
2025-01-20,HYG,81.7200
2025-01-20,LQD,85.9600
2025-01-20,VIX,20.5800
